erd,osb,size,description,comment
545.0,0.0,559,NOTUBES ZTR Freeride,
536.0,0.0,559,NOTUBES ZTR Olympic,
417.0,0.0,622,NOTUBES ZTR Olympic 29'er,
610.0,0.0,622,Performance C19,
612.0,0.0,622,Performance C19SL,
618.0,0.0,630,Performance TR22,
610.0,0.0,622,Rigida 1320,
617.0,0.0,630,Rigida 1320,
602.0,0.0,622,Rigida CHP-6,
530.7,0.0,571,Rigida DP 18,
606.0,0.0,622,Rigida HLC2000,
612.0,0.0,622,Rigida Score,
621.0,0.0,630,Rigida steel Superchromix 1.25,
549.0,0.0,559,Rigida steel Superchromix 1.75,
536.5,0.0,559,Rigida ZAC 2000+D574,
587.0,0.0,622,Rinard/Hollenbeck carbon clincher proto #1,
546.0,0.0,559,Ritchey Rock 395,
546.0,0.0,559,Ritchey Rock 415,
546.0,0.0,559,Ritchey Rock 440SC,
610.0,0.0,622,Ritchey Rock 450CE,
610.0,0.0,622,Ritchey Rock 490,
610.0,0.0,622,Ritchey Rock 490C,
596.0,0.0,622,Ritchey Trekking Comp,
594.0,2.5,622,Ritchey Trekking Comp OCR,
548.0,0.0,559,Ritchey Vantage Comp,
611.0,0.0,622,Ritchey Vantage Comp,
549.0,0.0,559,Ritchey Vantage Cross-Sport,
612.0,0.0,622,Ritchey Vantage Cross-Sport,
544.0,0.0,559,Ritchey Vantage Expert,
545.0,0.0,559,Ritchey Vantage Pro,
548.0,0.0,559,Ritchey Vantage Sport,
595.0,0.0,622,Rolf Sestriere,DGR
595.0,0.0,622,Rolf Vector,DGR
580.0,0.0,622,"Rolf Vector Comp, Trek made",DGR
543.0,0.0,559,Salsa Delgado 22.5mm wide,
604.0,0.0,622,Salsa Delgado Cross 22.5w x 18h,
545.0,0.0,559,Salsa Gordo 27mm wide,
544.0,0.0,559,Salsa Semi 24mm wide,
554.0,8.8,559,Snow Cat ASYM (44mm wide),
554.0,0.0,559,Snow Cat SYM (44mm wide),
614.0,0.0,622,Specialized C20,
614.0,0.0,622,Specialized C22,
547.0,0.0,559,Specialized GX23,
546.0,0.0,559,Specialized GX26,
614.0,0.0,622,Specialized HC19,
614.0,0.0,622,Specialized HC20,
622.0,0.0,630,Specialized Saturae C20,
622.0,0.0,630,Specialized Saturae C22,
622.0,0.0,630,Specialized Saturae HC19,
555.0,0.0,559,Specialized Saturne HX22,
544.0,0.0,559,Specialized Saturne HX28,
548.0,0.0,559,Specialized Saturne HX32,
555.0,0.0,559,Specialized Saturne X22,
544.0,0.0,559,Specialized Saturne X28,
548.0,0.0,559,Specialized Saturne X32,
547.0,0.0,559,Specialized X26,
546.0,0.0,559,Specialized XL21,
546.0,0.0,559,Specialized XL23,
545.0,0.0,559,Specialized Z21,
544.0,0.0,559,Sun 0 degree Lite,
544.0,0.0,559,Sun 0 degree XC,
607.0,0.0,622,Sun 0 degree XC,
552.0,0.0,571,Sun Ascent,
603.0,0.0,622,Sun Ascent,
395.0,0.0,406,Sun AT18,
549.0,0.0,559,Sun AT18,
612.0,0.0,622,Sun AT18,
389.0,0.0,406,Sun Big City,
528.0,0.0,622,"Sun Buzz Clincher (carbon, alu brake track)",
471.0,0.0,559,Sun Buzz MTB,
547.0,0.0,559,Sun C16,
619.0,0.0,630,Sun C16,
547.0,0.0,559,Sun C20,
549.0,0.0,559,Sun C20 tandem,
393.0,0.0,406,Sun CR16,
439.0,0.0,451,Sun CR16,
494.0,0.0,507,Sun CR16,
547.0,0.0,559,Sun CR16,
610.0,0.0,622,Sun CR16,
615.0,0.0,630,Sun CR16,
545.0,0.0,559,Sun CR17A,
607.0,0.0,622,Sun CR17A,
395.0,0.0,406,"Sun CR18, single eyelets",
438.0,0.0,451,"Sun CR18, single eyelets",
493.0,0.0,507,"Sun CR18, single eyelets",
544.0,0.0,559,"Sun CR18, single eyelets",
612.0,0.0,622,"Sun CR18, single eyelets",
392.0,0.0,406,Sun CR20,
435.0,0.0,451,Sun CR20,
493.0,0.0,507,Sun CR20,
545.0,0.0,559,Sun CR20,
608.0,0.0,622,Sun CR20,
548.0,0.0,559,Sun CRE16,
609.0,0.0,622,Sun CRE16,
617.0,0.0,630,Sun CRE16,
390.0,0.0,406,"Sun CRE16, CRT16II",
493.0,0.0,507,"Sun CRE16, CRT16II",
547.0,0.0,559,Sun CRT16,
548.0,0.0,559,Sun CRT16II,
609.0,0.0,622,Sun CRT16II,
617.0,0.0,630,Sun CRT16II,
545.0,0.0,559,Sun CRT17A,
619.0,0.0,630,Sun D253,
541.0,0.0,559,Sun DoubleWide,
492.0,0.0,507,Sun DS1-XC,
548.0,0.0,559,Sun DS1-XC,
438.0,0.0,451,Sun ICI-1,
507.0,0.0,507,Sun ICI-1,
611.0,0.0,622,Sun L13,
618.0,0.0,630,Sun L13,
395.0,0.0,406,Sun L17,
441.0,0.0,451,Sun L17,
612.0,0.0,622,Sun L17,
620.0,0.0,630,"Sun L17, L20",
390.0,0.0,406,Sun L18,
493.0,0.0,507,Sun L18,
547.0,0.0,559,Sun L18,
612.0,0.0,622,Sun L18,
395.0,0.0,406,Sun L20,
441.0,0.0,451,Sun L20,
497.0,0.0,507,Sun L20,
612.0,0.0,622,Sun L20,
549.0,0.0,559,Sun L20 Style I,
550.0,0.0,559,Sun L25,
612.0,0.0,622,Sun L25,
395.0,0.0,406,"Sun L25, M25",
497.0,0.0,507,"Sun L25, M25",
507.0,0.0,520,"Sun L25, M25",
610.0,0.0,622,Sun M13,
618.0,0.0,630,Sun M13,
440.0,0.0,451,Sun M13II,
509.0,0.0,520,Sun M13II,
560.0,0.0,571,Sun M13II,
610.0,0.0,622,Sun M13II,
619.0,0.0,630,Sun M13II,
441.0,0.0,451,Sun M13L,
510.0,0.0,520,Sun M13L,
549.0,0.0,559,Sun M13L,
561.0,0.0,571,Sun M13L,
612.0,0.0,622,Sun M13L,
618.0,0.0,630,Sun M13L,
330.0,0.0,349,Sun M14A,
432.0,0.0,451,Sun M14A,
491.0,0.0,507,Sun M14A,
502.0,0.0,520,Sun M14A,
539.0,0.0,559,Sun M14A,
552.0,0.0,571,Sun M14A,
603.0,0.0,622,Sun M14A,
611.0,0.0,630,Sun M14A,
606.0,0.0,622,Sun M14A (old),
614.0,0.0,630,Sun M14A (old),
612.0,0.0,622,Sun M17,
620.0,0.0,630,Sun M17,
440.0,0.0,451,Sun M17,
395.0,0.0,406,Sun M20,
611.0,0.0,622,Sun M20,
620.0,0.0,630,Sun M20,
619.0,0.0,630,Sun M20A,
612.0,0.0,622,Sun M20B,
550.0,0.0,559,Sun M25,
612.0,0.0,622,Sun M25,
395.0,0.0,406,Sun M25,
497.0,0.0,507,Sun M25,
507.0,0.0,520,Sun M25,
612.0,0.0,622,Sun M25,
619.0,0.0,630,Sun M25,
394.0,0.0,406,Sun Mammoth BFR (Big Fat Rim),
492.0,0.0,507,Sun Mammoth BFR (Big Fat Rim),
548.0,0.0,559,Sun Mammoth BFR (Big Fat Rim),
426.0,0.0,451,Sun ME14A,
496.0,0.0,520,Sun ME14A,
534.0,0.0,559,Sun ME14A,
549.0,0.0,571,Sun ME14A,
601.0,0.0,622,Sun ME14A,
547.0,0.0,559,Sun Phat Albert,
392.0,0.0,406,Sun Rhyno,
541.0,0.0,559,Sun Rhyno,
603.0,0.0,622,Sun Rhyno,
395.0,0.0,406,Sun Rhyno Lite,
493.0,0.0,507,Sun Rhyno Lite,
553.4,0.0,559,Sun Rhyno Lite,DGR
393.0,0.0,406,Sun Rhyno Lite,
541.0,0.0,559,Sun Rhyno Lite (newer version and XL-1.75 version),
486.0,0.0,507,Sun Rhyno Lite (newer version),
612.0,0.0,622,Sun Rhyno Lite (newer version),
544.0,0.0,559,Sun Rhyno Lite (XL version),
392.0,0.0,406,Sun SST20,
541.0,0.0,559,Sun SST20,
603.0,0.0,622,Sun SST20,
544.0,0.0,559,Sun Sub IV,
540.0,0.0,571,Sun Venus (medium deep aero),
592.0,0.0,622,Sun Venus (medium deep aero),
623.0,0.0,630,Super Champ Competition,
542.0,0.0,559,Synchros Lil' Snapper,
547.0,0.0,559,Tioga XC,
585.0,0.0,622,Veulta Airline 3,DCG
376.9,0.0,406,Vuelta Airline 1,Vuelta fax
529.3,0.0,559,Vuelta Airline 1,Vuelta fax
595.9,0.0,622,Vuelta Airline 2 622x13,Vuelta fax
540.9,0.0,559,Vuelta Excalibur DiscDH 559x27,Vuelta fax
543.6,0.0,559,Vuelta Excalibur DiscFR 559x21,Vuelta fax
543.5,0.0,559,Vuelta Excalibur DiscXC 559x21,Vuelta fax
599.3,0.0,622,Vuelta Stylus 622x13,Vuelta fax
607.0,0.0,622,Vuelta Vision,DCG
543.2,0.0,559,Vuelta Vision 559x18,Vuelta fax
621.0,0.0,630,Weinmann 2115,
400.0,0.0,406,Weinmann A129,
619.0,0.0,622,Weinmann A129,
624.0,0.0,630,Weinmann A129,
545.0,0.0,559,Weinmann Mod 2719,
387.0,0.0,406,Weinmann Zac19,
551.0,0.0,559,Wheelsmith Cowpie,
609.0,0.0,622,Wheelsmith Rimfire,
546.0,0.0,559,Wheelsmith Speedcow,
551.0,0.0,559,Wolber AT15,
550.0,0.0,559,Wolber AT18,
547.0,0.0,559,Wolber AT20,
548.0,0.0,559,Wolber Canyon,
574.0,0.0,584,Wolber M58,
620.0,0.0,630,"Wolber M58, GTA, GTX ",
602.0,0.0,622,Wolber TX Profil aero,
613.0,0.0,622,Wolber/Super Champion Gentleman 81,
620.0,0.0,630,Wolber/Super Champion Gentleman 81,
614.0,0.0,622,Wolber/Super Champion Gentleman GTA2,
622.0,0.0,630,Wolber/Super Champion Gentleman GTA2,
614.0,0.0,622,Wolber/Super Champion Gentleman GTX,
622.0,0.0,630,Wolber/Super Champion Gentleman GTX,
615.0,0.0,622,Wolber/Super Champion Module 58,
622.0,0.0,630,Wolber/Super Champion Module 58,
615.0,0.0,622,Wolber/Super Champion Module 59,
622.0,0.0,630,Wolber/Super Champion Module 59,
614.0,0.0,622,Wolber/Super Champion T430 Alpine,
622.0,0.0,630,Wolber/Super Champion T430 Alpine,
536.0,0.0,559,"WTB Dual Duty 30x11.8 (32h, 30mm wide)",
541.0,0.0,559,"WTB LaserBeam 22x11.8 (32h, 22mm wide)",
538.0,0.0,559,"WTB LaserBeam 25x11.3 (32h, 25mm wide)",
540.0,0.0,559,"WTB LaserDisc DH 36x0 (32h, 36mm wide)",
542.0,0.0,559,"WTB LaserDisc XC 24x0 (32h, 24mm wide)",
548.0,0.0,559,WTB PowerBeam,
545.0,0.0,559,WTB PowerBeam (old),
541.0,0.0,559,"WTB SpeedDisc XC 24x0 (32h, 24mm wide)",
606.0,0.0,622,"WTB SpeedMaster 21x11.3 700c (32h, 21mm wide) ",
541.0,0.0,559,"WTB SpeedMaster 23x11.3 (32h, 23mm wide) ",
552.0,0.0,559,WTB SpeedMaster 25mm,
549.0,0.0,559,WTB SpeedMaster II,
